Crop,Region,Month,Fertilizer,N,P,K,Temperature(C),Humidity(%),Soil_pH,Moisture(%)
Mung Bean (Moong),Goa,April,Compost,126.6,42.3,81.2,23.7,50.2,8.7,27.5
Mung Bean (Moong),Bihar,July,Gypsum,14.0,33.8,81.1,19.9,44.9,9.0,24.2
Mung Bean (Moong),Maharashtra,June,Urea,128.8,37.6,11.4,28.8,29.3,6.5,35.3
Mung Bean (Moong),Madhya Pradesh,March,Zinc Sulphate,82.1,98.6,68.4,25.5,86.5,4.7,8.2
Mung Bean (Moong),Gujarat,March,Gypsum,8.0,73.5,25.3,37.8,90.1,9.0,34.9
Mung Bean (Moong),Bihar,February,NPK 20:20:13,122.8,82.6,78.8,36.9,53.9,4.6,35.7
Mung Bean (Moong),Bihar,August,NPK 20:20:0,16.0,97.2,80.4,37.3,24.3,8.6,48.0
Mung Bean (Moong),Bihar,August,Zinc EDTA,1.5,98.1,42.7,23.5,34.9,8.4,34.7
Mung Bean (Moong),Jharkhand,May,Ammonium Nitrate,65.9,50.2,74.0,20.5,55.6,6.3,13.7
Mung Bean (Moong),Jharkhand,January,Potassium Nitrate,74.7,56.5,89.8,40.6,80.0,9.0,25.2
Mung Bean (Moong),Arunachal Pradesh,October,Potassium Nitrate,129.0,48.8,112.8,23.1,25.6,6.5,19.3
Mung Bean (Moong),Karnataka,January,NPK 16:20:0,137.9,43.1,97.2,29.1,38.8,7.5,19.6
Mung Bean (Moong),Madhya Pradesh,November,Boron Fortified NPK,18.6,90.2,53.0,18.5,31.8,7.8,27.1
Mung Bean (Moong),Gujarat,February,Potassium Nitrate,112.4,22.3,56.9,43.9,94.5,5.8,33.1
Mung Bean (Moong),Karnataka,May,NPK 20:20:13,68.6,75.1,82.5,17.1,20.0,9.0,9.0
Mung Bean (Moong),Gujarat,June,Triple Super Phosphate (TSP),17.0,99.4,16.7,41.4,50.9,4.8,39.3
Mung Bean (Moong),Goa,February,Double Super Phosphate (DSP),126.4,94.7,5.4,18.4,43.5,7.1,10.8
Mung Bean (Moong),Andhra Pradesh,February,Zinc Fortified Urea,86.1,67.7,83.5,36.2,55.9,7.0,7.4
Mung Bean (Moong),Haryana,December,Monoammonium Phosphate (MAP),78.0,41.1,16.2,40.5,21.1,5.4,48.2
Mung Bean (Moong),Karnataka,April,Sulphur-Coated Urea,131.0,57.7,54.7,30.9,89.6,5.2,14.0
Mung Bean (Moong),Karnataka,October,NPK 14:35:14,89.4,61.0,113.0,29.7,91.9,6.5,29.0
Mung Bean (Moong),Chhattisgarh,January,Zinc Sulphate,116.0,21.9,43.1,37.9,76.5,7.3,39.5
Mung Bean (Moong),Jharkhand,May,Polymer Coated Urea,22.9,84.8,97.7,40.4,35.3,5.6,36.8
Mung Bean (Moong),Himachal Pradesh,February,Green Manure,1.3,85.8,57.2,29.5,35.1,4.8,42.5
Mung Bean (Moong),Goa,February,Sulphur-Coated Urea,73.0,17.9,97.1,20.3,73.9,4.5,28.6
Mung Bean (Moong),Maharashtra,February,Rhizobium Biofertilizer,125.8,71.8,24.6,19.3,35.6,6.7,21.8
Mung Bean (Moong),Maharashtra,November,Ferrous Sulphate,12.3,84.2,11.1,13.5,93.3,7.4,49.3
Mung Bean (Moong),Jharkhand,June,Magnesium Sulphate,13.8,62.0,17.5,27.1,23.3,5.0,40.2
Mung Bean (Moong),Assam,April,NPK 19:19:19,23.1,64.7,107.6,43.6,57.6,7.7,13.8
Mung Bean (Moong),Gujarat,September,Calcium Nitrate,48.1,10.0,65.5,40.9,30.9,6.6,29.3
Mung Bean (Moong),Assam,August,NPK 14:35:14,121.9,79.4,0.7,16.7,58.5,4.8,5.8
Mung Bean (Moong),Arunachal Pradesh,April,Rhizobium Biofertilizer,27.0,42.6,80.2,16.1,74.0,8.8,35.8
Mung Bean (Moong),Jharkhand,July,Farmyard Manure (FYM),54.1,20.2,40.6,20.7,63.4,5.1,45.1
Mung Bean (Moong),Chhattisgarh,September,Boron Fortified NPK,57.9,94.0,73.6,16.2,84.2,8.7,49.2
Mung Bean (Moong),Bihar,July,Monoammonium Phosphate (MAP),85.6,47.0,6.1,41.9,65.2,5.6,9.4
Mung Bean (Moong),Arunachal Pradesh,July,Zinc EDTA,24.9,41.5,41.7,23.1,73.0,6.1,26.2
Mung Bean (Moong),Arunachal Pradesh,December,Monoammonium Phosphate (MAP),119.7,93.5,50.7,38.4,81.7,6.9,21.4
Mung Bean (Moong),Himachal Pradesh,September,NPK 16:20:0,102.0,82.2,20.0,43.8,21.3,6.8,22.7
Mung Bean (Moong),Madhya Pradesh,November,Green Manure,2.6,31.7,111.0,41.9,38.5,7.7,24.1
Mung Bean (Moong),Assam,March,Copper Sulphate,62.6,29.9,71.2,12.7,58.1,7.7,18.6
Mung Bean (Moong),Haryana,October,Monoammonium Phosphate (MAP),46.5,90.7,90.1,43.3,97.6,6.1,35.3
Mung Bean (Moong),Haryana,December,Polymer Coated Urea,105.6,32.0,105.7,23.3,59.4,7.0,20.9
Mung Bean (Moong),Bihar,April,Monoammonium Phosphate (MAP),59.2,90.6,7.1,19.5,71.9,5.7,9.8
Mung Bean (Moong),Chhattisgarh,April,Zinc Oxysulphate,40.6,86.0,33.6,16.7,31.4,5.7,22.0
Mung Bean (Moong),Goa,May,NPK 10:26:26,115.1,60.1,2.9,31.2,53.4,6.4,14.0
Mung Bean (Moong),Chhattisgarh,August,Potash Mobilizing Biofertilizer,49.7,90.7,48.5,10.7,37.2,7.7,19.8
Mung Bean (Moong),Andhra Pradesh,April,Vesicular Arbuscular Mycorrhiza (VAM),106.9,69.6,33.9,36.5,39.0,5.8,28.5
Mung Bean (Moong),Goa,September,Green Manure,30.5,0.8,33.5,32.0,54.0,5.8,38.8
Mung Bean (Moong),Kerala,December,Molybdenum (Ammonium Molybdate),32.2,96.7,3.2,32.1,47.5,7.4,49.9
Mung Bean (Moong),Chhattisgarh,October,NPK 28:28:0,49.4,22.7,68.0,11.5,39.5,8.5,38.4
Mung Bean (Moong),Gujarat,December,Single Super Phosphate (SSP),78.5,93.4,35.8,34.8,89.9,7.5,28.4
Mung Bean (Moong),Karnataka,October,NPK 10:26:26,19.1,45.0,21.4,14.2,49.6,6.5,38.2
Mung Bean (Moong),Madhya Pradesh,October,Boron (Boric Acid/Borax),79.4,86.0,45.7,30.6,34.5,5.0,5.7
Mung Bean (Moong),Assam,July,NPK 15:15:15,81.9,55.8,112.2,32.3,74.0,7.7,38.6
Mung Bean (Moong),Kerala,December,Potash Mobilizing Biofertilizer,74.5,0.9,42.6,35.4,58.6,6.2,45.7
Mung Bean (Moong),Bihar,August,Copper Sulphate,24.4,60.7,113.7,17.9,27.9,7.3,27.9
Mung Bean (Moong),Karnataka,February,NPK 12:32:16,72.7,6.8,97.7,10.1,70.5,6.5,16.4
Mung Bean (Moong),Maharashtra,October,NPK 10:26:26,25.4,11.1,78.3,39.6,28.3,8.3,37.4
Mung Bean (Moong),Madhya Pradesh,February,Single Super Phosphate (SSP),92.2,20.7,62.3,44.9,36.8,9.0,21.4
Mung Bean (Moong),Goa,September,NPK 28:28:0,51.8,93.0,57.5,34.0,23.4,5.1,48.4
Mung Bean (Moong),Assam,May,Zinc EDTA,79.5,72.1,41.4,43.8,80.0,6.9,29.1
Mung Bean (Moong),Chhattisgarh,July,Copper Sulphate,12.1,71.0,51.6,13.7,45.8,6.2,13.7
Mung Bean (Moong),Chhattisgarh,May,Boron (Boric Acid/Borax),126.6,72.7,53.3,15.3,70.2,8.9,37.0
Mung Bean (Moong),Himachal Pradesh,June,NPK 17:17:17,64.8,56.3,25.3,27.5,68.5,7.6,12.9
Mung Bean (Moong),Goa,November,Compost,29.2,2.1,95.6,27.9,53.7,6.8,5.1
Mung Bean (Moong),Maharashtra,May,Ammonium Nitrate,123.5,49.5,6.8,25.8,79.6,7.6,31.0
Mung Bean (Moong),Assam,August,NPK 17:17:17,110.8,85.7,38.6,29.0,51.0,5.5,17.4
Mung Bean (Moong),Arunachal Pradesh,October,NPK 20:20:0,81.3,89.3,85.0,10.3,28.1,7.7,17.4
Mung Bean (Moong),Gujarat,May,Potash Mobilizing Biofertilizer,7.6,59.9,38.3,23.8,84.7,8.1,32.6
Mung Bean (Moong),Chhattisgarh,December,Sulphur-Coated Urea,86.2,2.7,109.4,39.9,44.9,7.2,42.3
Mung Bean (Moong),Goa,March,Ammonium Chloride,108.1,6.4,78.2,39.3,30.3,7.5,29.0
Mung Bean (Moong),Jharkhand,January,Rock Phosphate,126.3,24.9,42.9,44.4,53.0,6.5,43.9
Urd Bean (Urad),Chhattisgarh,January,Potash Mobilizing Biofertilizer,30.8,91.3,2.3,13.4,63.1,5.4,20.4
Urd Bean (Urad),Himachal Pradesh,September,NPK 28:28:0,14.9,41.0,110.0,36.0,57.0,6.5,38.8
Urd Bean (Urad),Maharashtra,March,Ferrous Sulphate,119.9,23.0,37.0,11.8,63.2,6.6,10.1
Urd Bean (Urad),Andhra Pradesh,July,Ammonium Sulphate (AS),83.1,1.7,1.5,41.0,33.9,6.3,39.3
Urd Bean (Urad),Assam,December,Molybdenum (Ammonium Molybdate),22.4,49.9,43.8,38.8,49.8,9.0,9.7
Urd Bean (Urad),Andhra Pradesh,November,NPK 20:20:13,11.0,24.8,22.4,25.7,25.5,8.1,25.7
Urd Bean (Urad),Jharkhand,July,Triple Super Phosphate (TSP),132.1,81.7,96.3,27.3,66.3,5.7,47.3
Urd Bean (Urad),Himachal Pradesh,February,Ammonium Chloride,97.8,17.9,91.1,39.4,69.1,8.5,13.0
Urd Bean (Urad),Arunachal Pradesh,January,NPK 28:28:0,90.9,11.4,57.7,18.8,84.8,7.7,21.5
Urd Bean (Urad),Himachal Pradesh,March,Manganese Sulphate,67.5,5.2,0.2,23.4,83.1,6.4,37.3
Urd Bean (Urad),Jharkhand,June,Vermicompost,96.9,84.7,91.9,29.8,48.3,4.7,45.3
Urd Bean (Urad),Chhattisgarh,May,Rhizobium Biofertilizer,65.2,63.2,63.6,24.1,74.1,6.1,41.9
Urd Bean (Urad),Maharashtra,August,NPK 17:17:17,20.6,59.6,74.2,43.2,34.9,5.8,11.3
Urd Bean (Urad),Haryana,September,Calcium Ammonium Nitrate (CAN),96.7,63.3,40.8,18.0,68.4,9.0,10.6
Urd Bean (Urad),Maharashtra,February,Rock Phosphate,80.1,36.5,81.6,43.2,98.0,8.0,48.4
Urd Bean (Urad),Bihar,February,Bone Meal,99.9,66.9,117.0,44.5,59.8,8.6,33.6
Urd Bean (Urad),Haryana,November,NPK 14:28:14,4.1,23.1,26.8,19.6,30.3,8.5,38.8
Urd Bean (Urad),Karnataka,April,Zinc EDTA,133.8,70.5,9.9,43.6,59.2,5.1,42.5
Urd Bean (Urad),Goa,November,NPK 30:10:10,50.3,24.4,20.7,16.8,81.2,5.2,8.4
Urd Bean (Urad),Andhra Pradesh,August,NPK 16:20:0,27.4,51.9,68.6,32.7,56.0,8.9,33.1
Urd Bean (Urad),Himachal Pradesh,November,Pyrites,137.2,47.9,80.5,44.9,80.5,4.6,25.7
Urd Bean (Urad),Jharkhand,August,Rock Phosphate,56.3,46.8,46.4,34.2,63.6,5.7,5.5
Urd Bean (Urad),Goa,April,Sulfur Coated Urea,108.8,2.7,67.3,18.0,22.5,6.1,31.6
Urd Bean (Urad),Chhattisgarh,September,Azolla,80.8,29.4,62.9,10.5,79.2,4.8,43.3
Urd Bean (Urad),Maharashtra,December,Polymer Coated Urea,129.3,57.5,17.1,12.8,82.2,8.4,28.2
Urd Bean (Urad),Karnataka,December,Ammonium Nitrate,58.3,58.8,20.6,24.6,40.3,5.0,22.8
Urd Bean (Urad),Bihar,December,Water Soluble NPK (13:40:13),126.0,32.1,16.3,42.3,55.6,6.3,23.1
Urd Bean (Urad),Karnataka,April,Muriate of Potash (MOP),10.9,85.5,118.0,30.2,31.9,7.9,31.2
Urd Bean (Urad),Himachal Pradesh,March,Potassium Nitrate,73.4,26.0,15.9,37.7,94.9,8.9,18.0
Urd Bean (Urad),Maharashtra,October,Water Soluble NPK (13:40:13),116.4,32.8,96.7,28.0,40.9,6.6,44.4
Urd Bean (Urad),Himachal Pradesh,November,Potassium Nitrate,13.7,85.7,98.8,20.2,27.0,6.6,49.5
Urd Bean (Urad),Haryana,August,Pyrites,6.2,20.4,100.6,15.7,61.7,8.2,24.2
Urd Bean (Urad),Maharashtra,July,Anhydrous Ammonia,12.7,2.0,25.7,39.6,69.8,5.6,27.7
Urd Bean (Urad),Himachal Pradesh,August,Bone Meal,71.7,27.2,1.1,38.3,96.6,7.2,36.8
Urd Bean (Urad),Chhattisgarh,December,NPK 12:32:16,5.1,56.5,89.0,19.6,47.1,7.5,44.1
Urd Bean (Urad),Chhattisgarh,August,Anhydrous Ammonia,103.8,53.8,14.4,37.5,83.2,7.9,38.8
Urd Bean (Urad),Gujarat,August,Water Soluble NPK (19:19:19),23.3,4.0,19.7,15.6,99.9,7.9,12.1
Urd Bean (Urad),Assam,March,Phosphobacteria,50.9,79.2,4.2,33.1,90.4,7.7,11.8
Urd Bean (Urad),Chhattisgarh,January,Sulfur Coated Urea,12.1,83.7,108.1,33.0,46.5,6.8,31.4
Urd Bean (Urad),Karnataka,April,Manganese Sulphate,86.1,46.1,21.5,15.0,63.6,6.8,34.0
Urd Bean (Urad),Assam,August,Bone Meal,93.4,77.1,28.6,11.5,47.3,8.7,17.3
Urd Bean (Urad),Arunachal Pradesh,September,NPK 14:35:14,74.4,33.5,7.8,33.8,30.8,7.9,33.2
Urd Bean (Urad),Maharashtra,March,Azotobacter Biofertilizer,96.8,3.3,31.2,41.1,42.2,6.2,21.2
Urd Bean (Urad),Bihar,December,Single Super Phosphate (SSP),73.5,64.8,6.2,32.8,30.9,4.9,47.5
Urd Bean (Urad),Gujarat,June,Anhydrous Ammonia,46.9,36.2,60.0,20.3,92.2,4.6,27.0
Urd Bean (Urad),Maharashtra,October,Ammonium Sulphate (AS),129.5,55.9,119.7,28.2,56.5,7.0,48.9
Urd Bean (Urad),Arunachal Pradesh,February,Magnesium Sulphate,9.5,37.6,73.2,11.6,31.5,5.0,32.0
Urd Bean (Urad),Jharkhand,September,Chelated Iron,33.2,61.5,56.9,27.7,86.3,8.2,5.4
Urd Bean (Urad),Karnataka,November,Manganese Sulphate,47.0,57.0,13.6,28.2,85.6,4.9,5.5
Urd Bean (Urad),Arunachal Pradesh,December,Muriate of Potash (MOP),108.0,99.6,98.3,34.5,56.3,4.8,31.2
Urd Bean (Urad),Goa,September,Ammonium Nitrate,54.8,6.5,89.4,44.5,70.8,8.6,11.9
Urd Bean (Urad),Himachal Pradesh,July,Vermicompost,0.3,1.1,53.5,37.1,87.6,8.4,6.3
Urd Bean (Urad),Jharkhand,September,Zinc Sulphate,101.0,61.1,40.0,36.1,57.3,8.2,24.0
Urd Bean (Urad),Bihar,May,Bone Meal,127.3,28.4,89.6,22.5,72.1,8.4,47.1
Urd Bean (Urad),Kerala,May,Diammonium Phosphate (DAP),77.4,56.2,97.4,44.7,98.0,7.6,31.7
Urd Bean (Urad),Kerala,July,Water Soluble NPK (13:40:13),42.8,28.7,17.9,10.7,34.9,8.0,15.9
Urd Bean (Urad),Maharashtra,October,Pyrites,35.2,71.5,102.7,37.6,94.1,8.3,5.9
Urd Bean (Urad),Karnataka,May,Zinc Fortified Urea,64.5,71.4,94.3,20.2,24.4,7.3,21.0
Urd Bean (Urad),Kerala,May,Triple Super Phosphate (TSP),66.3,84.7,35.9,39.6,54.4,6.2,31.2
Urd Bean (Urad),Andhra Pradesh,November,Vesicular Arbuscular Mycorrhiza (VAM),3.4,68.6,90.8,14.9,64.7,6.7,22.5
Urd Bean (Urad),Himachal Pradesh,January,Manganese Sulphate,123.9,55.2,83.2,43.9,28.5,7.0,17.4
Urd Bean (Urad),Andhra Pradesh,June,Ammonium Sulphate (AS),92.1,43.6,66.7,28.2,40.2,8.1,44.5
Urd Bean (Urad),Goa,March,Vermicompost,110.5,21.9,27.2,28.1,79.8,8.2,14.8
Urd Bean (Urad),Maharashtra,June,Zinc Fortified Urea,120.4,30.7,14.7,34.1,73.8,7.0,14.9
Urd Bean (Urad),Bihar,June,Water Soluble NPK (13:40:13),47.6,87.7,21.7,26.8,53.2,6.7,48.0
Urd Bean (Urad),Maharashtra,August,Anhydrous Ammonia,9.9,62.1,91.2,34.6,76.2,5.8,13.2
Urd Bean (Urad),Arunachal Pradesh,August,Potassium Nitrate,2.8,1.7,5.3,15.4,75.3,7.0,10.9
Urd Bean (Urad),Goa,June,Urea,59.9,98.2,48.5,42.2,67.1,7.5,11.1
Urd Bean (Urad),Gujarat,September,NPK 19:19:19,7.9,48.4,96.1,42.9,32.9,7.3,24.3
Urd Bean (Urad),Arunachal Pradesh,November,Green Manure,126.9,97.6,20.0,37.8,30.0,7.2,7.7
Urd Bean (Urad),Jharkhand,February,Azolla,57.0,77.9,113.0,42.5,69.7,5.4,42.2
Urd Bean (Urad),Bihar,March,Azotobacter Biofertilizer,109.3,16.0,39.1,32.7,27.7,6.0,10.8
Urd Bean (Urad),Goa,October,Phosphobacteria,136.4,88.8,106.3,30.1,47.6,6.7,14.1
Urd Bean (Urad),Chhattisgarh,October,Azolla,70.0,87.1,9.7,22.6,57.0,6.0,31.8
Urd Bean (Urad),Chhattisgarh,January,NPK 20:20:0,6.4,79.1,6.4,18.8,36.5,5.6,11.0
Urd Bean (Urad),Bihar,November,Chelated Iron,5.3,90.4,44.4,43.9,96.5,8.8,18.2
Urd Bean (Urad),Chhattisgarh,February,NPK 28:28:0,92.9,30.9,118.7,37.8,70.4,7.8,24.3
Urd Bean (Urad),Assam,February,Sulphate of Potash (SOP),127.9,11.1,14.4,39.5,56.7,4.5,20.7
Urd Bean (Urad),Karnataka,November,Calcium Ammonium Nitrate (CAN),94.9,51.5,65.3,33.9,76.9,8.1,49.8
Urd Bean (Urad),Bihar,May,Triple Super Phosphate (TSP),18.5,9.4,69.6,25.4,77.9,4.9,5.2
Urd Bean (Urad),Himachal Pradesh,December,Farmyard Manure (FYM),59.1,80.4,5.7,19.2,57.2,6.7,5.4
Urd Bean (Urad),Haryana,December,Sulfur Coated Urea,16.0,24.9,89.0,15.2,28.2,5.9,42.4
Urd Bean (Urad),Chhattisgarh,May,Azolla,24.6,52.1,113.3,39.5,81.6,6.4,5.5
Urd Bean (Urad),Andhra Pradesh,June,Zinc EDTA,132.1,15.3,76.2,15.4,34.1,5.5,19.4
Urd Bean (Urad),Jharkhand,June,Zinc Sulphate,2.6,99.7,52.0,13.6,21.1,8.0,43.9
Urd Bean (Urad),Assam,August,Copper Sulphate,78.4,5.1,33.0,37.6,79.4,7.4,12.7
Urd Bean (Urad),Madhya Pradesh,April,Ammonium Sulphate (AS),13.0,16.9,28.0,23.0,46.5,5.8,17.9
Urd Bean (Urad),Karnataka,November,NPK 16:20:0,47.5,22.3,114.4,44.6,24.7,5.1,20.1
Urd Bean (Urad),Chhattisgarh,January,Water Soluble NPK (19:19:19),121.6,54.9,47.4,35.3,49.0,5.7,21.9
Urd Bean (Urad),Jharkhand,October,Zinc Fortified Urea,56.3,9.2,72.3,27.9,20.2,6.0,19.8
Urd Bean (Urad),Kerala,April,Manganese Sulphate,85.0,21.1,107.7,26.2,53.8,8.8,45.1
Urd Bean (Urad),Bihar,June,Chelated Iron,26.3,39.8,74.3,26.7,73.5,6.1,20.3
Urd Bean (Urad),Kerala,May,Triple Super Phosphate (TSP),126.6,29.0,111.8,20.2,89.8,7.1,14.7
Urd Bean (Urad),Himachal Pradesh,April,Calcium Ammonium Nitrate (CAN),16.7,54.9,58.7,13.2,81.4,6.7,13.5
Urd Bean (Urad),Arunachal Pradesh,January,Compost,14.8,5.8,24.9,18.9,32.0,7.2,21.0
Urd Bean (Urad),Kerala,February,NPK 28:28:0,25.0,28.2,83.6,36.7,62.2,4.9,29.7
Urd Bean (Urad),Bihar,July,Neem-Coated Urea,44.7,72.6,36.8,17.7,44.4,5.8,39.1
Urd Bean (Urad),Arunachal Pradesh,June,NPK 10:26:26,96.0,60.0,5.1,13.5,61.7,7.9,27.1
Urd Bean (Urad),Himachal Pradesh,November,Ammonium Chloride,40.0,60.6,99.4,16.4,35.8,8.2,10.6
Urd Bean (Urad),Assam,June,NPK 14:35:14,114.6,88.5,38.3,39.4,90.1,6.3,28.3
Lentil (Masur),Andhra Pradesh,June,Polymer Coated Urea,83.9,82.1,18.0,17.7,71.5,8.5,36.6
Lentil (Masur),Arunachal Pradesh,June,Zinc Fortified Urea,50.6,12.0,76.0,24.7,95.8,6.0,41.2
Lentil (Masur),Bihar,March,Ammonium Sulphate (AS),100.3,14.7,119.3,18.7,23.3,6.9,18.0
Lentil (Masur),Chhattisgarh,October,Molybdenum (Ammonium Molybdate),113.5,46.1,68.9,41.0,98.2,7.8,13.2
Lentil (Masur),Maharashtra,November,NPK 19:19:19,108.2,94.6,20.7,18.9,71.5,6.3,20.4
Lentil (Masur),Chhattisgarh,May,NPK 14:28:14,118.9,58.4,59.6,30.8,78.6,7.0,41.4
Lentil (Masur),Haryana,March,Neem-Coated Urea,97.4,89.5,67.2,11.5,48.1,7.4,27.2
Lentil (Masur),Bihar,January,NPK 16:20:0,47.5,96.5,22.3,36.3,73.2,5.9,9.6
Lentil (Masur),Goa,April,Water Soluble NPK (13:40:13),70.6,18.9,9.5,40.3,47.0,8.2,19.2
Lentil (Masur),Andhra Pradesh,February,Chelated Iron,110.1,84.0,74.2,16.5,23.6,5.2,15.9
Lentil (Masur),Haryana,June,Diammonium Phosphate (DAP),134.2,86.4,40.7,17.7,80.6,7.9,33.1
Lentil (Masur),Arunachal Pradesh,September,Zinc Oxysulphate,22.0,95.1,37.4,17.5,42.6,7.1,18.6
Lentil (Masur),Assam,September,Sulphur-Coated Urea,75.5,66.2,102.4,16.0,39.1,6.5,21.9
Lentil (Masur),Assam,October,Anhydrous Ammonia,100.7,68.5,23.0,32.1,43.9,8.8,41.6
Lentil (Masur),Himachal Pradesh,September,Calcium Ammonium Nitrate (CAN),37.0,34.6,112.1,38.9,98.2,8.0,24.2
Lentil (Masur),Madhya Pradesh,October,NPK 14:28:14,111.0,77.1,36.4,28.0,59.9,5.4,31.6
Lentil (Masur),Maharashtra,March,Anhydrous Ammonia,4.0,59.2,87.5,42.9,29.4,8.4,30.2
Lentil (Masur),Karnataka,September,Gypsum,99.9,1.2,27.2,23.0,20.1,7.0,45.7
Lentil (Masur),Andhra Pradesh,December,Zinc Fortified Urea,6.4,28.6,101.2,39.2,77.6,8.5,28.6
Lentil (Masur),Haryana,June,Sulfur Coated Urea,131.5,7.5,18.4,35.7,68.8,5.7,45.9
Lentil (Masur),Bihar,July,NPK 15:15:15,47.2,80.7,71.7,32.8,90.0,6.7,12.4
Lentil (Masur),Haryana,April,Gypsum,52.6,20.2,111.7,36.1,64.9,8.7,9.7
Lentil (Masur),Assam,February,Potassium Nitrate,71.6,90.7,43.1,38.8,28.6,8.3,44.5
Lentil (Masur),Bihar,July,Sulfur Coated Urea,75.0,47.3,51.8,43.9,99.1,7.3,26.3
Lentil (Masur),Goa,February,Boron (Boric Acid/Borax),121.7,54.2,63.6,23.7,77.5,6.8,26.8
Lentil (Masur),Gujarat,April,Rhizobium Biofertilizer,89.5,59.9,55.9,24.8,71.0,5.9,20.1
Lentil (Masur),Chhattisgarh,January,Neem-Coated Urea,35.9,91.4,72.0,32.6,78.0,8.0,5.2
Lentil (Masur),Kerala,August,Rhizobium Biofertilizer,115.9,61.8,19.0,44.7,89.0,8.9,23.3
Lentil (Masur),Madhya Pradesh,June,NPK 19:19:19,122.1,61.0,78.6,18.1,60.0,4.6,29.8
Lentil (Masur),Jharkhand,April,Boron Fortified NPK,58.3,37.3,33.4,20.6,95.8,4.8,15.0
Lentil (Masur),Andhra Pradesh,September,NPK 15:15:15,24.4,73.2,45.0,15.0,79.0,6.9,33.7
Lentil (Masur),Kerala,February,Zinc Oxysulphate,1.1,66.5,7.4,23.0,65.1,5.2,22.5
Lentil (Masur),Chhattisgarh,July,Azotobacter Biofertilizer,22.4,64.5,110.7,23.4,85.6,7.7,7.5
Lentil (Masur),Bihar,September,Polymer Coated Urea,106.5,97.4,85.1,16.4,35.8,8.1,49.3
Lentil (Masur),Andhra Pradesh,March,NPK 30:10:10,114.4,54.7,9.3,14.2,68.2,8.4,42.9
Lentil (Masur),Andhra Pradesh,October,NPK 14:28:14,41.4,74.6,70.7,12.3,86.8,7.1,38.5
Lentil (Masur),Himachal Pradesh,March,NPK 14:35:14,101.7,41.1,111.7,24.0,83.6,8.4,16.6
Lentil (Masur),Jharkhand,May,Ammonium Chloride,36.3,11.6,39.1,19.9,98.7,6.4,33.6
Lentil (Masur),Karnataka,October,Zinc EDTA,0.2,42.7,74.2,39.8,53.8,5.2,30.3
Lentil (Masur),Bihar,July,Green Manure,30.6,76.9,9.2,21.0,29.9,5.2,34.2
Lentil (Masur),Chhattisgarh,February,Phosphobacteria,12.3,46.7,100.6,25.2,94.4,8.1,36.1
Lentil (Masur),Himachal Pradesh,August,Green Manure,140.0,67.8,19.4,24.9,53.4,8.3,41.5
Lentil (Masur),Madhya Pradesh,March,Ferrous Sulphate,47.0,0.6,99.6,40.8,59.8,7.2,41.9
Lentil (Masur),Chhattisgarh,November,Ferrous Sulphate,138.4,13.6,31.6,16.8,29.5,4.9,36.1
Lentil (Masur),Goa,March,Bone Meal,111.5,49.9,93.1,23.4,87.6,5.3,30.7
Lentil (Masur),Gujarat,November,Zinc Sulphate,69.2,89.1,107.6,28.3,51.8,7.0,31.2
Lentil (Masur),Bihar,December,Boron Fortified NPK,74.1,36.7,58.1,41.6,50.7,8.8,34.9
Lentil (Masur),Haryana,October,Phosphobacteria,16.7,48.8,97.7,43.4,24.3,7.1,13.6
Lentil (Masur),Maharashtra,January,NPK 10:26:26,136.7,92.2,54.6,18.8,53.2,4.8,6.5
Lentil (Masur),Madhya Pradesh,March,Potash Mobilizing Biofertilizer,114.4,34.4,19.8,19.5,22.4,7.9,22.7
Lentil (Masur),Karnataka,December,Potassium Nitrate,133.5,36.4,43.9,38.7,63.7,7.0,35.4
Lentil (Masur),Chhattisgarh,May,Chelated Iron,4.1,86.0,60.5,42.8,55.5,6.0,23.9
Lentil (Masur),Arunachal Pradesh,July,Sulphur-Coated Urea,44.2,41.0,84.6,24.6,44.3,7.6,44.1
Lentil (Masur),Andhra Pradesh,May,Zinc Fortified Urea,88.9,87.8,5.8,40.8,54.7,6.6,42.1
Lentil (Masur),Karnataka,July,NPK 12:32:16,80.2,56.8,63.8,31.6,53.3,7.5,43.8
Lentil (Masur),Assam,December,Manganese Sulphate,58.8,19.3,57.9,39.8,34.4,7.4,40.8
Lentil (Masur),Bihar,November,Ferrous Sulphate,37.1,55.1,54.0,25.3,66.4,7.6,6.0
Lentil (Masur),Gujarat,March,Azotobacter Biofertilizer,97.3,63.1,66.2,12.3,46.0,5.9,19.3
Lentil (Masur),Maharashtra,October,Dolomite,7.3,86.2,53.9,11.6,76.6,6.1,34.5
Lentil (Masur),Andhra Pradesh,December,Vesicular Arbuscular Mycorrhiza (VAM),55.8,35.0,68.9,25.9,44.5,7.1,10.9
Lentil (Masur),Karnataka,March,Green Manure,110.5,19.6,61.2,37.2,48.5,4.7,36.6
Lentil (Masur),Bihar,March,Phosphobacteria,105.4,82.9,41.7,36.0,97.5,6.9,47.7
Lentil (Masur),Maharashtra,June,Azotobacter Biofertilizer,81.9,87.1,2.8,44.2,77.8,6.0,38.7
Lentil (Masur),Jharkhand,January,NPK 10:26:26,17.8,51.5,93.2,36.9,35.0,8.4,27.4
Lentil (Masur),Maharashtra,December,Boron Fortified NPK,115.9,86.4,62.8,28.0,39.7,5.4,7.9
